question_id,question,answer,article_ids
q_00001,Can I start accepting payments on my site while my Wix Payments account is still under verification?,"You can start accepting payments on your site using [Wix Payments](https://support.wix.com/en/article/about-wix-payments) almost immediately. However, we need to verify your identity before your account can be fully activated.",49d9e88fadbf11fa4e685c847590078ff9394c2fe7566094f504f53ca4aca465
q_00002,"I am inquiring about purchasing the yearly premium plan for $17.00, which includes a free domain for 1 year. However, the voucher does not show up at checkout. Do I need to purchase the plan first and then will the voucher be available to activate?","When you purchase a yearly Premium plan, the free domain voucher is not immediately visible at checkout. Instead, the voucher becomes available after you complete the purchase of the plan. You can then claim the voucher by visiting the [Premium Vouchers page](https://manage.wix.com/account/vouchers?referralAdditionalInfo=%7Btheir) in your Wix account. The voucher is valid for two months from the date of purchase, and you can use it to register a domain for free for one year. If you have already purchased the plan and still do not see the voucher, ensure that you meet all eligibility criteria, such as not having purchased a monthly plan or a domain prior to the plan. If issues persist, you can [contact Wix Customer Care](https://support.wix.com/en/article/contacting-wix-customer-care-for-support) for further assistance.",06535db983ea0ffe0214af14497a1d158f279d92c92f211e87b8820aa95dbe43
q_00003,I'm want to know how much it would cost to upgrade my email plan.,To upgrade your email marketing plan: [Go to Email Marketing](https://www.wix.com/my-account/site-selector/?buttonText=Email%20Marketing%20Dashboard&title=Select%20a%20Site&autoSelectOnSingleSite=true&actionUrl=https://www.wix.com/dashboard/%7B%7BmetaSiteId%7D%7D/shoutout/) in your site's dashboard. Under Monthly Balance click Upgrade. Choose a plan that works best for you and checkout.,de6e96935f0b3321cf29416ec164482247b5035f1d2e12b36e203be8126ca8b8
q_00004,I want to know if the Wix store function work for selling services instead of just physical goods,"Wix Stores gives you all the tools you need to create a sleek, professional online store and grow your eCommerce business. Wix Bookings, however, is an easy-to-use scheduling system that lets your members book and [pay for] (https://support.wix.com/en/article/wix-bookings-about-getting-paid-online) services online, so you can focus on managing your business. Whether you offer services like workshops, courses, or private sessions, online or in-person, Wix Bookings has you covered.",a513a215c1798f329293330cb5f5e975a18978954b5ee27d84441e029f900d51;b9ba8c318ee75f49eaa89c1d5b8d461fa2b4c27167381b869aeb31027d7187f9
q_00005,How can I add discounts to my service prices when customers pay for a plan?,"To add discounts to your service prices when customers pay for a plan, you can create discount coupons for your pricing plans. You can choose to offer a price discount or a percentage discount coupon. You can also choose whether your discount coupons apply to a specific plan or to all your pricing plans. Your clients redeem the coupon at checkout to take advantage of the discounted plans. Note: Discount coupons for Pricing Plans cover the plans themselves, but not any setup fees you may have enabled. To create discount coupons for your pricing plans: 1. Go to Pricing Plans in your site's dashboard. 2. Click the More Actions icon at the top. 3. Click Create a coupon. 4. Select the type of coupon you want to offer: - $ Discount: Offer a fixed monetary discount amount. - % Discount: Offer a percentage discount. 5. Enter the Coupon code clients use to redeem the coupon. 6. Enter the Coupon name for your own records. 7. Click the Apply to drop-down and choose the relevant pricing plan(s): - All plans: This is applied to all your available pricing plans. - Specific plan: Click the Pricing plan drop-down and select the relevant plan. 8. Choose how the coupon works with your pricing plans: - First billing cycle: The coupon offers a one-time discount at the start of the pricing plan. - All billing cycles: The coupon offers a recurring discount, every time your client is charged. - Custom: You choose how your coupons work with recurring payments (e.g. give a discount for the first 4 billing cycles). 9. Select the dates the coupon is valid between. 10. (Optional) Select the Limit the total number of uses for this coupon checkbox and enter the number of times the coupon can be used. 11. (Optional) Select the Limit to one use per customer checkbox if you want clients to be able to use the coupon only one time. 12. Click Create Coupon.",8cc75fbcc571336d1ef1768e7727bd9d1e6c1333f22eeb5366232b9a1a066418
q_00006,"I am trying to change the order of the items within a CMS collection on my Wix site, but the provided steps did not work for me.","To change the order of items within a CMS collection on your Wix site, you should follow these steps: 1. Go to the CMS in your site's dashboard or editor. 2. Click on the relevant collection. 3. If you have multiple collection views, select the view you want to sort items in. 4. Click 'Sort' at the top of your collection. 5. Click '+ Add a Sort'. 6. Choose the field you want to sort by from the 'Sort by' drop-down menu. 7. Select the sorting order (e.g., A-Z, Low-High, Oldest-Newest). 8. Click 'Add Sort'. 9. To apply this order to your live site, enable the 'Mirror on Site' toggle at the top of the collection. If these steps did not work, ensure that the 'Mirror on Site' feature is enabled, as this is necessary for the order in your collection view to be reflected on your live site. Additionally, check if there are any sort conditions added to datasets, as these can override the order set in your mirrored collection view. For more detailed guidance, you can refer to the [Wix support article on mirroring item order](https://support.wix.com/en/article/cms-mirroring-the-order-of-items-in-your-collection-to-your-sites-connected-elements).",f346781bc6cf23c95342ce003927de9d985a99eeb7561c69f03e65da7c10f2fb;163d579af227160c8072dc465c81d8edea4b507d7e8789078b680f88633aefab;2df694686b70b35ed389ff590354cfaf19aafc07659b12b02078f2ebcf015ac8
q_00007,How do I sync the hotel app with my calendars ical link to allow visitors to book available dates on my site?,"To sync your hotel app with your calendars using an iCal link, you can import reservations from external services like Airbnb, HomeAway, and VRBO to your Wix Hotels reservation calendar. This is a one-way sync from iCal to the Wix Calendar. To import your external calendar - 1. [Locate your iCal URL.] (https://support.wix.com/en/article/finding-your-ical-url) 2. [Go to your dashboard.] (https://support.wix.com/en/article/accessing-your-sites-dashboard) 3. Click the Hotels tab. 4. Click to expand the Reservations tab. 5. Select iCal. 6. Click the Choose Type drop-down menu and select a room type. 7. Paste your iCal URL into the URL field. 8. (Optional) Click Add Calendar to add another room type and paste the iCal URL in the URL field. 9. Click Save. Please note that - * You can only import from services that allow you to export your calendar in iCal format. * The sync is one way only, from iCal to the Wix Calendar. * If you have multiple room types, you must add a different iCal URL for each room type. * Imported rates do not appear in the calendar. Rates can be viewed by clicking on the reservation in the calendar and scrolling down to the Payment Details section. * This feature is not compatible with the Wix Hotels Channel Manager. If you want to connect the Channel Manager please delete all the URLs in this tab before doing so.",5f02fc2f8937d16a4d8cdca47da36ae34429e0b279fb0cc56af72e2d91991a28
q_00008,I am trying to verify my domain with Google Workspace. I need to add a TXT record to my domains DNS settings. I have confirmed that my domain is connected to Wix via pointing. What to do now?,"To verify your domain with Google Workspace by adding a TXT record, you need to manage your DNS settings with your domain host, not Wix, since your domain is connected via pointing. Follow these steps: 1. Log in to your domain host account where your DNS records are managed. 2. Add the TXT record provided by Google Workspace to your domain's DNS settings. 3. After adding the TXT record, return to the Google Admin Console and click 'Verify'.",65806b123ff355cef16c8abe4301f1df982e2c3bddcd33b81ed446b92a79e336;db6a6c4be5c11fae531b4fdd546601bab6d4a26b669a8a7ea6063c62a045e9d4
q_00009,I cant access my old email address to change my password. I have a recovery phone number added to my Wix account.,"If you've previously added a Recovery Phone Number to your Wix account, you can get a one-time SMS code sent to your mobile phone to recover your Wix account. To recover your account: 1. Go to the Wix Log In page. (https://users.wix.com/signin) 2. Click Forgot Email?. 3. Select Can't access my login email. 4. Click Next. 5. Enter the email address associated with your Wix account. 6. Click Next. 7. Select Send me a code to my phone number ending with XXXX and click Next. 8. Enter the one-time verification code sent to your phone under Enter code here. 9. Click Verify. 10. Enter a new password and retype it. 11. Click Save New Password. After you recover your account, you should change the email address of your account (https://support.wix.com/en/article/changing-the-email-address-of-your-wix-account) to one that you are able to access. To change your email address: 1. Go to Account Settings in your Wix account. 2. Click the Account email field. 3. Enter your Wix account password in the pop-up. 4. Enter your new account email address. 5. Retype your new email account email address to confirm it. 6. Click Next. 7. Check your email account for an email from Wix. 8. Copy the 6-digit confirmation code. 9. Go back to Account Settings in your Wix account. 10. Paste the code into the pop-up. 11. Click Submit.",39158650c97235d1f9b98a71be41c5222ddb3ee3e497cfb1d10ef3bd0bc166cf;e9366441d1e037a1470c9bad57455dbadc24db0ca931791edd0f3b026ea6a58f
q_00010,I couldn’t link PayPal to my site because the option to connect to PayPal was not available. I confirmed that I have a PayPal Business account and adjusted my business location in the Wix dashboard.,"There are 2 main reasons for payment providers not appearing in the Accept Payments tab: 1. Different payment providers are available in different locations. PayPal is available in around 200 countries. Please check the following link to make sure PayPal is available in your location: [visit PayPal] (https://www.paypal.com/pn/webapps/mpp/country-worldwide). 2. If you began onboarding with Wix Payments, you may have selected a prohibited product or service. If so, this may remove the option to onboard with other payment providers who prohibit similar items. For more information, please see [our checklist for restricted products & services when setting up your payments] (https://support.wix.com/en/article/checking-for-restricted-products-services-when-setting-up-your-payments). If you mistakenly completed a CBD declaration, or selected a restricted product/service, please contact [Wix Customer Care] (https://www.wix.com/contact).",6b97c2a01f5c925927be970c1f768a4b628c6b52071dec733aa3a1719d17332e;7a49619f637ed0508bca64c0995e2726276d8faba2907d97350e0f01384709af
